layer,requirement,model_inputs,calculation,outputs,status,gap_or_limitation,source_reference,source_url,original_publication,republication
Scope,Corporate CLO criteria version,Source register,Pin source version and hash,Version metadata,Verified source,Not an agency certification,Title and revisions pp1/62-63,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
Portfolio,Issuer-level credit inputs,obligor_id;sp_rating;sp_industry;country;par; maturity_date,Normalize explicit mappings and aggregate facilities,Obligor and portfolio summaries,Implemented validation,Supplied ratings are not independently accredited,Paragraphs 10 and 102-110,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
Portfolio,Rating hierarchy and CreditWatch,Approved issuer/issue rating source; credit estimate; CreditWatch,Use documented paragraph102 hierarchy and paragraph104 notching,Approved rating inputs,Not automated,Needs source evidence and substantial-driver review; another CRA share is subject to criteria limit,Paragraphs 102-106,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
Portfolio,Related rating input framework,Rating source and documentation,Apply current ratings-based input requirements,Rating source review,Review dependency,No automatic CRA-to-SP equivalence approval,Methodology For Determining Ratings-Based Inputs,https://www.spglobal.com/ratings/pt/regulatory/article/-/view/sourceId/13109302,2024-07-26,2025-10-03
Portfolio,Industry taxonomy,sp_industry and explicit aliases,Validate configured vocabulary,Industry composition and grouping,Implemented normalization only,User mapping must be reviewed against S&P classifications,Table18 and AppendixC,https://disclosure.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/101632469,2019-06-21,2026-04-10
Portfolio,Stable quality or stressed portfolio,Reinvestment documents and covenants,Choose actual or covenanted portfolio analysis,Analysis scope,Actual portfolio development only,No assertion of CDO Monitor commitment or stable-quality eligibility,Paragraphs68-71 and99-101,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
Portfolio,Concentration summaries,Grouped obligor and industry par,Weight=par/total; HHI=sum(weight^2); effective count=1/HHI,HHI; effective obligors; industry mix,Implemented descriptive calculation,Does not determine SDR or agency rating,Paragraph34; descriptive arithmetic,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
Portfolio,SPWARF,sp_rating;par;verified AAA-CCC- factors,sum(par*factor)/eligible_par,Formula and Python SPWARF; eligible/excluded par,Public calculation implemented,Performing benchmark scope; supplied ratings remain unverified; not an SDR,Blue Owl original filing S&P Rating Factor table printed p61,https://www.blueowltechnologyfinance.com/investors/sec-filings/all-sec-filings/content/0001193125-25-262653/d38473dex101.htm,2025-11-03,Not applicable
Portfolio,S&P default-rate dispersion,sp_rating;par;SPWARF,sum(par*abs(factor-SPWARF))/eligible_par,Formula and Python DRD,Public calculation implemented,Same eligible denominator as SPWARF; not a portfolio-tail model,AUF Funding presale Table13 footnotes,https://www.spglobal.com/ratings/en/regulatory/article/221215-presale-auf-funding-llc-s12592453,2022-12-15,Not separately verified
Portfolio,CDO Monitor non-model analysis,Applicable portfolio metrics; eligibility; deal-specific BDR coefficients,Versioned prescribed Monitor expressions,Unavailable status,Not implemented,SPWARF factors are verified; complete Monitor definitions and transaction settings remain distinct dependencies,CDO Monitor Non-Model Version update,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11037205,2019-06-21,Not verified
SDR,Asset default term structure,Rating and tenor,Public default table and refined transition treatment,CDO Evaluator credit inputs,Reference identified only,Tables public but refined transition and implementation not validated,Table3 and AppendixB; paragraph26,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
SDR,Pairwise correlation,Industry; geography; asset types; common obligors,Use applicable full correlations and overrides,Correlated portfolio distribution,Not reproduced,Generic 0.20/0.075/0.05 values alone omit override logic and exact model conventions,Paragraphs27-28 and AppendixC,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
SDR,Rating quantile calibration,Portfolio distribution; tenor; target rating,Apply validated calibrated quantile convention,SDR per target,Unavailable,Need authorized evaluator output or validated independent implementation; no synthetic rating percentile,Paragraphs29-35 and AppendixD,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
Recovery,Recovery hierarchy,Recovery rating; point estimate; senior rated debt; asset type; country group,Apply tables12-15 precedence,Rating-dependent recovery inputs,Reference helper only,Supplied recovery_aaa remains fictional input; country groups and covlite status need review,Paragraphs112-120 tables12-16,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
Recovery,Corporate recovery rating source,Authorized recovery opinions,Use applicable corporate recovery criteria,Recovery opinion input,Review dependency,Model does not assign recovery ratings,Recovery Rating Criteria For Corporate Issuers,https://www.spglobal.com/ratings/en/regulatory/article/-/view/type/HTML/id/3538849,2026-03-31,Not separately verified
Cash flow,Default timing,Selected annual pattern; cumulative default rate,Table20 five-year or Table21 three-year shares allocated by payment period,Period defaults; exploratory grid results,Published pattern helpers implemented,Applicability varies with WAM; no interest from defaulted assets in default period,Paragraphs132-135 tables20-21,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/11020014,2019-06-21,2026-04-10
