instrument_id,obligor_id,obligor_name,par,sp_rating,sp_industry,country,seniority,rate_type,spread_bps,fixed_coupon_rate,floor_bps,maturity_date,recovery_aaa,price,payment_frequency,currency,benchmark
LARGE1-SYN-LN-00001,LARGE1-SYN-OB-0001,Large fixture 1 Alder Holdings 001,1182000,BB-,"Hotels, Restaurants & Leisure",United States,1st Lien,Floating,220,,0,2033-10-30,0.395,101.5,4,USD,SOFR
LARGE1-SYN-LN-00002,LARGE1-SYN-OB-0002,Large fixture 1 Amber Inc. 002,586000,BBB,IT Services,United Kingdom,Sr Unsec,Floating,220,,0,2031-02-15,0.2,96.5,4,USD,SOFR
LARGE1-SYN-LN-00003,LARGE1-SYN-OB-0003,Large fixture 1 Arbor Corp. 003,1182000,B,Industrial Conglomerates,United States,1st Lien,Floating,255,,0,2032-04-15,0.405,100.25,4,USD,SOFR
LARGE1-SYN-LN-00004,LARGE1-SYN-OB-0004,Large fixture 1 Atlas Group 004,1182000,B-,Financial services,United States,1st Lien,Floating,575,,0,2031-04-30,0.305,101.25,4,USD,SOFR
LARGE1-SYN-LN-00005,LARGE1-SYN-OB-0005,Large fixture 1 Beacon LLC 005,1182000,B,Healthcare Providers & Services,United States,1st Lien,Floating,195,,0,2031-03-30,0.36,96.75,4,USD,SOFR
LARGE1-SYN-LN-00006,LARGE1-SYN-OB-0006,Large fixture 1 Bluewater Holdings 006,1182000,B,Chemicals,United States,1st Lien,Floating,325,,0,2033-01-15,0.43,99,4,USD,SOFR
LARGE1-SYN-LN-00007,LARGE1-SYN-OB-0007,Large fixture 1 Bracken Inc. 007,1182000,B,Building Products,United States,1st Lien,Floating,290,,0,2029-01-15,0.45,99.5,4,USD,SOFR
LARGE1-SYN-LN-00008,LARGE1-SYN-OB-0008,Large fixture 1 Cedar Corp. 008,1182000,B+,Industrial Conglomerates,United States,1st Lien,Floating,110,,0,2032-10-30,0.49,98.5,4,USD,SOFR
LARGE1-SYN-LN-00009,LARGE1-SYN-OB-0009,Large fixture 1 Cobalt Group 009,1182000,BB-,Diversified Telecommunication Services,United States,1st Lien,Floating,330,,0,2033-06-15,0.2,99.75,4,USD,SOFR
LARGE1-SYN-LN-00010,LARGE1-SYN-OB-0010,Large fixture 1 Copper LLC 010,1182000,BB,Commercial Services & Supplies,United States,1st Lien,Floating,205,,0,2031-10-30,0.525,100.375,4,USD,SOFR
LARGE1-SYN-LN-00011,LARGE1-SYN-OB-0011,Large fixture 1 Crest Holdings 011,570000,B+,Commercial Services & Supplies,United States,1st Lien,Floating,130,,0,2033-10-15,0.395,100.125,4,USD,SOFR
LARGE1-SYN-LN-00012,LARGE1-SYN-OB-0011,Large fixture 1 Crest Holdings 011,612000,B+,Commercial Services & Supplies,United States,1st Lien,Floating,140,,0,2033-12-15,0.395,100.25,4,USD,SOFR
LARGE1-SYN-LN-00013,LARGE1-SYN-OB-0012,Large fixture 1 Duneland Inc. 012,650000,B+,Industrial Conglomerates,United States,1st Lien,Floating,280,,50,2031-06-15,0.285,99.625,4,USD,SOFR
LARGE1-SYN-LN-00014,LARGE1-SYN-OB-0012,Large fixture 1 Duneland Inc. 012,532000,B+,Industrial Conglomerates,United States,1st Lien,Floating,290,,0,2031-08-28,0.285,99.75,4,USD,SOFR
LARGE1-SYN-LN-00015,LARGE1-SYN-OB-0013,Large fixture 1 Elmstone Corp. 013,1182000,BB,Construction Materials,United States,1st Lien,Floating,195,,0,2031-06-28,0.315,99.25,4,USD,SOFR
LARGE1-SYN-LN-00016,LARGE1-SYN-OB-0014,Large fixture 1 Evergreen Group 014,1182000,BB-,"Hotels, Restaurants & Leisure",United States,1st Lien,Floating,215,,0,2032-03-15,0.725,98.125,4,USD,SOFR
LARGE1-SYN-LN-00017,LARGE1-SYN-OB-0015,Large fixture 1 Fairhaven LLC 015,630000,BB-,Beverages,Switzerland,Sr Secured,Fixed,,0.0455,,2034-02-28,0.325,99,2,USD,
LARGE1-SYN-LN-00018,LARGE1-SYN-OB-0016,Large fixture 1 Granite Holdings 016,1182000,BB,Banks,United States,1st Lien,Floating,285,,0,2030-08-15,0.45,101.5,4,USD,SOFR
LARGE1-SYN-LN-00019,LARGE1-SYN-OB-0017,Large fixture 1 Harbor Inc. 017,1182000,B-,Transportation Infrastructure,United States,1st Lien,Floating,280,,0,2032-05-15,0.235,95.375,4,USD,SOFR
LARGE1-SYN-LN-00020,LARGE1-SYN-OB-0018,Large fixture 1 Hawthorne Corp. 018,1182000,B+,Passenger airlines,United States,1st Lien,Floating,290,,0,2030-11-30,0.495,100.25,4,USD,SOFR
